Year	Topic	Title	Author				
1996	Data Science	need;hypertext;instructional;design;methodology	Mengel				
1997	Data Science	hypertext;instructional;design;methodology;engineering;education	Mengel				
1997	Data Science	design;implementation;videoconferencing;tutorial	Mengel				
1997	Data Science	k12;world;wide;web	Mengel				
1998	Data Science	guidelines;proposal;undergraduate;software;engineering;education	Mengel				
1998	Data Science	verilog;logiscope;analyze;student;programs	Mengel				
1998	Data Science	guidelines;software;education;meeting;needs;21st;century	Mengel				
1999	Data Science	case;study;analysis;novice;student;programs	Mengel				
1999	Data Science	multidisciplinary;education;software;engineering	Mengel				
1999	Data Science	software;metrics;view;education;research;training	Mengel				
2000	Data Science	perspective;three;cooperating;courses	Mengel				
2001	High Performance Computing	stable;globally;non-iterative;non-overlapping;domain;decomposition;parallel;solvers;parabolic;problems	Zhuang				
2001	Artificial Intelligence	usa-advisor;case study;answer set;planning	Richard Watson
2002	Artificial Intelligence	diagnosis;answer sets;unobservable;fluent	Richard Watson
2002	Artificial Intelligence	methodology;representing;knowledge;dynamic;domains	Richard Watson
2002	Data Science	engineering;education;innovation;software;engineering;projects	Mengel
2002	Data Science	e-coach;paradigm;shift;efficient;advising	Mengel				
2002	Software Engineering	multiple-view;meta-modeling;software;product;lines	Micheal Shin				
2002	High Performance Computing	stabilized;explicit-implicit;domain;decomposition;methods;numerical;solution;parabolic;equations	Zhuang				
2003	Artificial Intelligence	modeling;hybrid;systems;action;languages	Richard Watson
2003	Data Science	software;engineering;course;materials;workshop	Mengel
2003	Data Science	web-based;project;process;throughout;software;engineering;curriculum	Mengel				
2003	Data Science	active;passive;learning;connections;sleep;management	Mengel				
2003	Data Science	ieee-cs/acm;computing;curriculum;software;engineering;volume;project	Mengel				
2003	Software Engineering	authenticated;dictionaries;fresh;attribute;credentials	Micheal Shin				
2004	Software Engineering	decision;making;incomplete;data	Hewett				
2004	Software Engineering	model;extraction;fault;isolation	Hewett				
2004	Software Engineering	secure;visualization;authentication;information;case;study	Micheal Shin				
2004	Software Engineering	modeling;complex;systems;separating;application;security;concerns	Micheal Shin				
2005	Software Engineering	learning;software;reuse;experience	Hewett				
2005	Software Engineering	risk;assessment;model;embedded;software;systems	Hewett				
2005	Software Engineering	assessment;software;risks;model-based;reasoning	Hewett				
2005	Software Engineering	iterative;parallel;algorithm;design;high;level;language;traces	Rushton				
2005	Software Engineering	visualization;automated;trust;negotiation	Micheal Shin				
2005	Software Engineering	self-healing;components;robust;software;architecture;concurrent;distributed;systems	Micheal Shin				
2005	Software Engineering	connector-based;self-healing;mechanism;components;reliable;system	Micheal Shin				
2005	Software Engineering	connector-based;self-healing;mechanism;components;reliable;system	Micheal Shin
2005	Artificial Intelligence	interactive;approach;answer set;rogramming	Richard Watson
2005	Artificial Intelligence	t-laima;answer set;programming;modeling;agents;trust	Richard Watson
2005	Artificial Intelligence	maintaining;arc;consistency;adaptive;domain;ordering	Yuanlin Zhang
2005	Artificial Intelligence	optimal;coarse-grained;arc;consistency;algorithm	Yuanlin Zhang				
2005	High Performance Computing	highly;parallel;algorithm;numerical;simulation;unsteady;diffusion;processes	Zhuang				
2006	Software Engineering	alternative;approach;utilize;software;defect;reports	Hewett				
2006	Software Engineering	software;defect;predictability;testing;schedules	Hewett				
2006	Data Science	work;progress;quantitative;study;gui;versus;text-based;object-oriented;instruction	Mengel				
2006	Software Engineering	role;theory;experiment;language;design;15-year;perspective	Rushton				
2006	Software Engineering	self-management;cots;component-based;systems;wrappers	Micheal Shin				
2006	Software Engineering	detection;anomalies;software;architecture;connectors	Micheal Shin				
2006	Software Engineering	self-reconfiguration;self-healing;systems	Micheal Shin				
2006	Artificial Intelligence	set;intersection;consistency;constraint;networks	Yuanlin Zhang				
2006	Artificial Intelligence	fast;sat-based;answer set;solver	Yuanlin Zhang				
2006	High Performance Computing	parallel;efficient;algorithm;multicompartment;neuronal;modelling	Zhuang				
2007	Software Engineering	predicting;order;likelihood;defective;software;modules	Hewett				
2007	Software Engineering	software;tradeoff;assistant;integrated;framework;analytical;decision;making;tradeoffs;software;development	Hewett				
2007	Software Engineering	building;business;considerations;enterprise;application;designs	Hewett				
2007	Software Engineering	security;risk;analysis;web;application;design	Hewett				
2007	Software Engineering	security;business;risks;early;design;web-based;systems	Hewett				
2007	Software Engineering	software;requirements;architecture;modeling;evolving;non-secure;applications;secure;applications	Micheal Shin				
2007	Software Engineering	automated;software;product;line;engineering;product;derivation	Micheal Shin				
2007	Artificial Intelligence	defeasible;laws;parallel;actions;reasoning;resources	Richard Watson
2007	Artificial Intelligence	modeling;cooperative;multi-agent-systems	Richard Watson
2007	Artificial Intelligence	fast;algorithm;connected;row;convex;constraints	Yuanlin Zhang
2007	Artificial Intelligence	arc;consistency;search	Yuanlin Zhang				
2007	High Performance Computing	alternating;explicit;implicit;domain;decomposition;method;parallel;solution;parabolic;equations	Zhuang				
2007	High Performance Computing	direct;dynamics;simulations;hessian-based;predictor-corrector;integration;algorithms	Zhuang				
2008	Software Engineering	security;analysis;role-based;separation;duty;workflows	Hewett				
2008	Software Engineering	host-centric;model;checking;network;vulnerability;analysis	Hewett				
2008	Software Engineering	automated;negotiations;web;service;procurement	Hewett				
2008	Software Engineering	test;order;generation;efficient;object-oriented;class;integration;testing	Hewett				
2008	Software Engineering	authorization;constraint;enforcement;information;system;security	Hewett				
