source	time	person	location	organization	miscellaneous
esquire	2014-10-10T20:30:00	vince foster|hillary clinton|bill clinton|barack obama|sid blumenthal	new york	permanent musical accompaniment to the last post of the week from the blog	canadian
esquire	2014-10-10T09:00:00	askew|scott|reubin askew|dr. watson|rick scott|sherlock holmes|george sheldon|sunshine laws	florida|everglades|florida man	governor batboy|miami herald|tampa bay times|florida supreme court	da|medicare
esquire	2014-10-09T16:00:00	antonin scalia|john roberts|william barber|thom tillis|tillis|kay hagan	north carolina	fourth circuit court of appeals|shelby county|nine wise souls|shelby county v. holder|voting rights act|fourth circuit|day of jubilee|gilded age	vra|u.s. senate
esquire	2014-10-09T10:50:00	christian|stephen langa|lively|truth|don schmierer|ken hutcherson|alexey ledyaev|caleb brundidge|ledyaev|scott lively	riga|eastern europe|uganda|sacramento|seattle|temecula calif.|kampala|latvia	commonwealth|exodus international|from sacramento|watchmen|lgbt|top commenters|homosexual agenda|healing touch|walls|getty images|permanent musical accompaniment to this post|triangle hotel|abiding truth ministries|family life network	ugandans|russians|latvian|ugandan|nazis|christian russian
esquire	2014-10-08T15:20:00	abourezk|james abourezk|tim johnson|larry pressler|pressler|rick weiland|mike rounds|johnson	vietnam|south dakota	fbi|defense of marriage act|house of representatives|tiger beat	dickensian|u.s. senate
esquire	2014-10-08T10:45:00	ma duggar|jill|derick|ben|wonkette|pa duggar|tony perkins	nepal	jill and jessa|important national issues|don|family research council|jessa|learning channel|quiverfull christians	spanish|duggar
esquire	2014-10-08T09:10:00	michael brown|wanis thonetheva|wild west	missouri|georgia	national conversation|teachable moment	argentinian|habersham|swat
esquire	2014-10-07T15:00:00	ferguson|michael brown|catherine perry	missouri|fallujah	u.s. district court|st. louis cardinals|st. louis symphony|los angeles dodgers	national league divisional series
esquire	2014-10-07T10:15:00	paul ryan|ted cruz|yosemite sam|lee|thomas aquinas|mike lee	utah	true believers|nine wise souls|national organization for marriage|supreme court	constitution
esquire	2014-10-06T14:00:00	islam|graham	christianity|judaism|hinduism	buddhism|koran|concerned mom	bible as literature|world religions
esquire	2014-10-06T11:35:00	manuel|bob|anthony fauci|bob schieffer|duncan	west africa|dallas	our national dialogue|cbs|cestus iv|missa sodumbness	house cup|rurik
esquire	2014-10-03T18:15:00	james foley	colorado|mccormick hall	marquette university|american history according to jeebus and the duggars|permanent musical accompaniment to the last post of the week from the blog	canadian
esquire	2014-10-03T12:05:00	your honor|judge peter doyle|steve trepanier|trepanier|when trepanier	cafe|massachusetts	commonwealth	hamilton
esquire	2014-10-03T09:00:00	david lakey	massachusetts bay|dallas|texas|leviticus	christian right|ebola|getty images there	aids|mather|liberian
esquire	2014-10-01T11:00:00	george washington|steve d|ben carson|martin luther king|carson	booman|colorado	american history as told to jeebus and the duggar family	ap
esquire	2014-09-30T15:15:00	julia pierson	east room	state of the union|secret service	bible
esquire	2014-09-30T12:30:00	karl rove|cotton|tom cotton|brad delong|fournier	arkansas	keep up the fight|farm bill	u.s. senate
esquire	2014-09-30T09:45:00	prestone|nate silver|charlotte clinton mezvinsky|silver|dylan byers|byers|good hope	norway	village|morning joe|tiger beat on the potomac|win the morning	horn
esquire	2014-09-29T15:35:00	michele bachmann|tarryl clark|bachmann|clark	minnesota	democratic farmer-labor party|permanent republican majority	sixth congressional district
esquire	2014-09-29T11:00:00	balzac|honore|charles koch|dickinson|tim dickinson	texas	shell|university of massachusetts amherst|getty images what|political economy research institute|international paper|supreme court|koch industries|koch|exxonmobil|valero|chevron|georgia-pacific|american electric power|general electric	birchite|kochs|gambinos
esquire	2014-09-29T10:00:00	john boehner|sonny boy williamson|chuck todd|bob|chuck|boehner|blake farenthold|eric cantor|cantor|martha raddatz|cruz|bob schieffer|bland|the roots	scotland|maine	fallon|our national dialogue|clinton guy shocked by blowjobs|meet the press|dc comedy jam|getty images being|nerd board	albigensian|european
esquire	2014-09-26T17:00:00	chuck todd|james foley	marquette	mausoleum for the otherwise unemployable|permanent musical accompaniment to the last post of the week from the blog|breitbart	canadian
esquire	2014-09-26T11:00:00	jim webb|webb|ben carson|aaron blake|ted cruz|jennifer rubin|allen|coates|hillary clinton|david blight|carson|rubin|george allen|blake	virginia|levant	washington post|affordable care act|us news	african american|csa|civil war|neo-confederate
