Conference,Year,Title,PaperType,Authors,Keywords
Vis,1990,Interdisciplinary visualization: lessons learned at NCSA,M,Donna J. Cox,
Vis,1990,Surface representations of two- and three-dimensional fluid flow topology,C,James Helman;Lambertus Hesselink,
Vis,1990,FAST: a multi-processed environment for visualization of computational fluid dynamics,C,Gordon V. Bancroft;Fergus Merritt;Todd Plessel;Paul G. Kelaita;R. Kevin McCabe;Al Globus,
Vis,1990,The VIS-5D system for easy interactive visualization,C,William L. Hibbard;David A. Santek,
Vis,1990,A procedural interface for volume rendering,C,James L. Montine,
Vis,1990,Techniques for the interactive visualization of volumetric data,C,Gregory M. Nielson;Bernd Hamann,
Vis,1990,Displaying voxel-based objects according to their qualitative shape synthesis,C,Yaser Yacoob,
Vis,1990,Interpreting a 3D object from a rough 2D line drawing,C,Del Lamb;Amit Bandopadhay,
Vis,1990,Animation techniques for chain-coded objects,C,Anthony J. Maeder,
Vis,1990,Extracting geometric models through constraint minimization,C,James V. Miller;David E. Breen;Michael J. Wozny,
Vis,1990,Wide-band relativistic Doppler effect visualization,C,Ping-Kang Hsiung;Robert H. Thibadeau;Christopher B. Cox;Robert H. P. Dunn;Michael Wu;Paul Andrew Olbrich,
Vis,1990,Dynamic graphics for network visualization,C,Richard A. Becker;Stephen G. Eick;Eileen O. Miller;Allan R. Wilks,
Vis,1990,Techniques for visualizing Fermat's last theorem: a case study,C,Andrew J. Hanson;Pheng-Ann Heng;B. C. Kaplan,
Vis,1990,Visualizing computer memory architectures,C,Bowen Alpern;Larry Carter;Ted Selker,
Vis,1990,A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm,C,Philip K. Robertson,
Vis,1990,Moving iconic objects in scientific visualization,C,G. David Kerlick,
Vis,1990,Classifying visual knowledge representations: a foundation for visualization research,C,Gerald L. Lohse;Henry H. Rueter;Kevin Biolsi;Neff Walker,
Vis,1990,A problem-oriented classification of visualization techniques,C,Stephen Wehrend;Clayton Lewis,
Vis,1990,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,C,Nahum D. Gershon,
Vis,1990,Applying space subdivision techniques to volume rendering,C,Kalpathi R. Subramanian;Donald S. Fussell,
Vis,1990,Volume visualization in cell biology,C,Arie E. Kaufman;Roni Yagel;Reuven Bakalash;I. Spector,
