Year	Rating	Conference	Title	Author Names
2011	8.2	Comedy	10 Second Traumas	"Carlton, John-Michael;Gallagher, Matthew (VIII);Johnson, Tyler (XXII);Kohout, Griff;McLalin, Paul"
2006	8.8	Drama	1001 gece	"Aydan, Ege;Belgin, Metin;Bilingen, Erdal;Demir, Erg•À_n;D•À_venci, Ismail;Erdal, Efe Can;Ergen•À_, Halit;Ermakastar, Merih;Firat, Mert;Flordun, Tardu;Karikutal, Temmuz;Kumbaracibasi, Teoman;K•À_•À_•À_k•À_aglayan, Bartu;Onurlu, G•À_rsan Piri;Tekniker, Suphi;•À_ekmez, Metin;•À_inar, Efe"
1991	8.6	Drama	101-kai me no puropozu	"Eguchi, Y•À_suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru"
2006	8.6	Drama	11 Cameras	"Belford, Steve;Campbell, Alex (I);Carrera, Brandon;Casey, Dillon (I);Chotalia, Yogesh;Doyle, Colin (I);Fyfe, Mac;Gilchrist, Riley;Grant, Jamaal;Hunter, Sean (IV);Ishmael, Marvin (I);Jarsky, Joris;Mann, Jasbir;Roberto, Adrian;Roop, Jeff (I);Sitahal, Errol;Van Sprang, Alan;Willcocks, Chuck"
2010	8.5	Comedy	12 Steps to Recovery	"Banks, Nicoye;Chanlin, Joey;Cheston, Lamar K. (I);Cornelius, Ohene;Corry, Mario;Croce, Michael;Crownson, David;Di Stasio, Pasquale;Hill, Stephen (VII);Howell, Ayinde;LeMay, Addison;McGleese, Dwayne;McKay, Erik (I);Naim, Solvan;O'Dell, Joe;Peoples, Michael T.;Rey, Shaun;Rich, Celester;Rivera, Ron (III);Rustin, Chris;Silas, Michael;Soze, Kaleber;Strife, Rashawn;Wordz, Advocate of"
2013	8.9	Comedy	14.000.000.000$!!!	"Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard"
2008	8.5	Drama	17 - o poveste despre destin	"Anastasia, Nicu;Avadanei, Alexandru;Barbulescu, Constantin (I);Dutu, Gabriel;Finti, Andrei;Marcu, Daniel;Motriuc, Eugen Cristian;Nitu, Gelu;Paraschiv, Valentin;Poama, Sorin;Popa, Ovidiu-Gheorghe;Trandafir, Claudiu;Zory, David"
1954	8.4	Family	1:0 f•À_r Sie	"Blum, Hans;Frankenfeld, Peter;Gregor, Gerhard;G•À_nther, Walter;Isar Spatzen, Die;Kilima Hawaiians;Low, Bruce (I);Messner, Franz;M•À_nster, Addi;Netzle, Klaus;Roswaenge, Helge;Simson, Rolf;Spahrbier, Walter;Thon, Franz"
1988	8.5	Comedy	2 Hip 4 TV	"Jaye, Michael (II);Quinn, Colin;Zappa, Ahmet"
2013	8.2	Comedy	2 Hopeful Spinsters	"Coomer, Law;Holt, Joe (IX);Kiesche, Tom;Langston, Jesse;Lenox, Lenny;Long, Matthew Sidney;Madsen, Michael (I);Neptune, Thomas;Saliba, Fred (II);Sherry, Todd;St. James, Larry;Stentz, Zack;Temple, Wayne;Thompkins, Jonathan;Timmer, Joe;Turner, Jim (I);Witten, Paul;Zarian, Gregory"
2013	8.2	Action	20 Dakika	"Aksum, Ilker;Aybar, Enis;Esen, Mehmet;Nalci, •À_zg•À_r Ege;Pros•À_iler, Murat;Tamer, Cihat;Yarar, B•À_lent Emin;Y•À_r•À_k, Burak;•À_akir, Ushan;•À_ekmez, Metin;•À_elik, Firat"
2008	9.1	Drama	2009: A True Story	"Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)"
2007	8.1	Action	24: Day Six - Debrief	"Cassar, Alexis;Joyner, Paul;Morales, Esai;Papazian, Martin;Sutherland, Kiefer"
2014	8.5	Comedy	3 Rooms	"Abbasov, Samir;Aga, Hasan;Ata, Orkhan;Hasanov, Emin;Havsteen Eriksen, Gunnar Napier;Heydarow, Azad;Kamilov, Natiq;Khalil, Emin;M., Rash;Zeynalli, Orkhan"
