Year	Rating	Conference	Title	Author Names
2006	7.359239578	Action	Blood Diamond 	Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly; Arnold Vosloo; David Harewood; Jimi Mistry; Michael Sheen; Marius Weyers; Stephen Collins; Ato Essandoh 
2006	7.167639256	Drama	Lonely Hearts 	John Travolta; James Gandolfini; Salma Hayek; Jared Leto; Laura Dern; Dan Byrd; Alice Krige; Dagmara Dominczyk; Bailee Madison 
2011	7.554875374	Comedy	The Hangover Part II 	Bradley Cooper; Zach Galifianakis; Justin Bartha; Ed Helms; Ken Jeong; Mike Tyson; Jamie Chung; Paul Giamatti; Jeffrey Tambor; Mason Lee 
1942	7.812180042	Drama	Casablanca 	Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains; Conrad Veidt; Sydney Greenstreet; Peter Lorre; Madeleine Lebeau; Dooley Wilson; Joy Page 
1995	7.442391872	Fantasy	Jumanji 	
1996	7.65887022	Drama	Trainspotting 	Ewan McGregor; Ewen Bremner; Jonny Lee Miller; Kevin McKidd; Kelly Macdonald; Peter Mullan; James Cosmo; Eileen Nicholas; Shirley Henderson 
2002	7.258140564	Fantasy	Spirit: Stallion of the Cimarron 	Matt Damon; James Cromwell 
2008	7.585334301	Drama	21	Jim Sturgess; Kevin Spacey; Kate Bosworth; Laurence Fishburne; Aaron Yoo; Jacob Pitts; Jack McGee; Josh Gad 
2005	7.213498592	Fantasy	Charlie and the Chocolate Factory 	Johnny Depp; Freddie Highmore; AnnaSophia Robb; David Kelly; Helena Bonham Carter; Noah Taylor; Philip Wiegratz; James Fox; Missi Pyle; Christopher Lee 
1988	8.061498642	Drama	Nuovo Cinema Paradiso 	Philippe Noiret; Jacques Perrin; Marco Leonardi; Salvatore Cascio; Agnese Nano; Enzo Cannavale; Leo Gullotta; Pupella Maggio; Leopoldo Trieste; Tano Cimarosa 
2006	7.444244385	Action	Pirates of the Caribbean: Dead Man's Chest 	Johnny Depp; Keira Knightley; Orlando Bloom; Jack Davenport; Bill Nighy; Stellan Skarsg\u00e5rd; Tom Hollander; Jonathan Pryce; Naomie Harris; Geoffrey Rush 
