id,date,type,city,state,ideology,group,description,image
4706,11/5/2018,White Supremacist Propaganda,San Clemente,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""European roots American greatness."" They also posted stickers featuring their group logo.",
4707,11/4/2018,White Supremacist Propaganda,Chesapeake,VA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Tidewater Community College in Chesapeake. The flyers read: ""European roots American greatness.""",
4708,11/3/2018,White Supremacist Propaganda,Virginia Beach,VA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Tidewater Community College in Virginia Beach. The flyers read: ""European roots American greatness."" They also posted stickers featuring their group logo.",
4709,11/2/2018,White Supremacist Propaganda,Scranton,PA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo.",
5089,11/2/2018,Extremist Murder,Tallahassee,FL,Right Wing (Other),,"Scott Beierle conducted a shooting spree at a yoga studio, killing two and wounding or injuring five more before killing himself. Beierle, who had posted racist and misogynistic videos to YouTube, appears to have been motivated by the extreme misogyny of the ""manosphere.""",
4710,11/1/2018,White Supremacist Propaganda,San Marcos,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at California State University in San Marcos. The flyers read: ""European roots American greatness."" They also posted stickers featuring their group logo.",
4711,11/1/2018,White Supremacist Propaganda,Castle Rock,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo.",
4712,11/1/2018,White Supremacist Propaganda,Jacksonville,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Better dead than red"" and ""Not stolen conquered.""",
4713,11/1/2018,White Supremacist Propaganda,Fort Myers,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Better dead than red"" and ""To ourselves and our posterity.""",
4714,10/31/2018,White Supremacist Propaganda,San Francisco,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Let us become great again,"" and ""Our destiny is ours."" They also posted stickers featuring their group logo.",
4715,10/31/2018,White Supremacist Propaganda,Oakland,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Serve your people,"" ""Become who we are,"" and ""Our destiny is ours.""",
4716,10/30/2018,White Supremacist Propaganda,Phoenix,AZ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Arizona State University in Phoenix. The flyers read: ""European roots American greatness.""",
4717,10/30/2018,White Supremacist Propaganda,San Marcos,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at California State University in San Marcos. The flyers read: ""European roots American greatness.""",
4718,10/30/2018,White Supremacist Propaganda,Tempe,AZ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Arizona State University in Tempe. The flyers read: ""European roots American greatness."" They also posted stickers featuring their group logo.",
4719,10/30/2018,White Supremacist Propaganda,Glendale,AZ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Glendale Community College. The flyers read: ""European roots American greatness."" They also posted stickers featuring their group logo.",
4720,10/30/2018,White Supremacist Propaganda,Salt Lake City,UT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo at the University of Utah.",
4721,10/30/2018,White Supremacist Propaganda,Worcester,MA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Better dead than red,"" Money does not rule you,"" ""Life liberty and the pursuit of victory,"" and ""Reclaim America.""",
